country,date,experiment_id,order_id,spend_usd,user_bucket,user_id,vertical
,,12624549,,0,3,1.65544E+19,
,,12624548,,0,14,1.44115E+19,
,,12624549,,0,20,8.4252E+18,
,,12624549,,0,16,1.13027E+19,
,,12624549,,0,14,1.39924E+18,
,,12624549,,0,3,2.98533E+17,
,,12624548,,0,6,7.16658E+18,
,,12624549,,0,15,8.56361E+17,
,,12624548,,0,4,7.0694E+18,
,,12624549,,0,5,1.02854E+19,
,,12624549,,0,16,1.75452E+19,
,,12624548,,0,8,6.13747E+18,
,,12624549,,0,17,4.48463E+18,
JP,4/7/17,12624549,1.11635E+19,2.164181,14,1.08663E+19,GAMES
,,12624549,,0,18,1.71588E+19,
,,12624549,,0,19,1.82298E+19,
ID,4/2/17,12624548,6.15095E+18,0.975841,9,1.26941E+19,GAMES
ID,4/2/17,12624548,1.4655E+19,2.868148,9,1.26941E+19,GAMES
,,12624549,,0,17,1.44362E+19,
JP,4/6/17,12624548,1.25437E+19,26.174415,4,1.09881E+19,GAMES
JP,4/4/17,12624548,3.0131E+18,1.08475,4,1.09881E+19,GAMES
,,12624548,,0,9,2.1105E+18,
,,12624548,,0,1,1.07154E+19,
,,12624549,,0,5,1.32367E+19,
,,12624549,,0,4,8.99632E+18,
,,12624549,,0,16,1.74004E+18,
US,4/1/17,12624549,5.13057E+18,49.99,6,1.57699E+19,GAMES
US,4/7/17,12624549,1.59559E+19,9.99,6,1.57699E+19,GAMES
US,4/7/17,12624549,1.23605E+19,9.99,6,1.57699E+19,GAMES
US,4/7/17,12624549,7.91659E+18,9.99,6,1.57699E+19,GAMES
,,12624549,,0,17,1.55018E+19,
,,12624548,,0,11,1.70983E+18,
,,12624549,,0,19,3.93539E+18,
,,12624549,,0,20,3.46425E+18,
,,12624548,,0,1,2.54296E+18,
,,12624549,,0,20,4.05174E+17,
,,12624549,,0,8,8.09282E+18,
,,12624548,,0,8,9.94002E+18,
,,12624549,,0,11,6.6299E+18,
,,12624548,,0,17,1.29315E+19,
,,12624548,,0,17,1.38507E+19,
,,12624548,,0,1,1.1081E+19,
,,12624548,,0,18,9.63774E+18,
,,12624548,,0,5,6.16669E+18,
,,12624549,,0,18,1.45122E+19,
KR,4/1/17,12624549,8.27099E+18,5.59,15,9.30015E+18,GAMES
,,12624549,,0,9,9.23828E+18,
,,12624548,,0,15,8.98478E+18,
,,12624548,,0,20,1.4885E+19,
,,12624548,,0,5,1.68929E+19,
,,12624549,,0,19,1.20306E+19,
US,4/6/17,12624549,4.75958E+18,1.99,12,1.10904E+19,GAMES
US,4/6/17,12624549,1.71698E+19,9.99,12,1.10904E+19,GAMES
,,12624548,,0,17,6.17558E+18,
,,12624548,,0,4,5.96894E+18,
,,12624549,,0,19,6.59658E+18,
,,12624548,,0,14,1.24657E+19,
,,12624548,,0,7,1.72492E+19,
,,12624548,,0,15,9.33277E+18,
,,12624549,,0,8,8.8957E+17,
,,12624548,,0,15,2.15102E+18,
,,12624548,,0,4,1.0876E+19,
TR,4/2/17,12624549,7.47792E+18,2.745827,15,2.61416E+18,GAMES
,,12624548,,0,5,8.50467E+18,
,,12624548,,0,10,1.52242E+18,
,,12624549,,0,8,7.84113E+18,
,,12624549,,0,11,1.2842E+19,
,,12624548,,0,20,1.78371E+19,
,,12624549,,0,10,1.10464E+19,
,,12624549,,0,15,2.32288E+18,
,,12624549,,0,8,1.04407E+19,
,,12624548,,0,19,8.73455E+18,
,,12624548,,0,8,5.00762E+18,
,,12624548,,0,11,1.16787E+19,
,,12624548,,0,13,6.97758E+18,
,,12624549,,0,17,6.92106E+18,
JP,4/7/17,12624548,1.29299E+19,1.262439,17,6.48639E+18,GAMES
,,12624548,,0,9,1.23054E+19,
,,12624548,,0,18,2.5897E+18,
,,12624548,,0,5,1.60991E+19,
,,12624548,,0,15,5.20752E+18,
,,12624548,,0,15,8.65932E+18,
,,12624549,,0,1,1.38982E+16,
,,12624549,,0,13,1.48915E+19,
,,12624548,,0,12,3.02216E+18,
,,12624549,,0,1,1.58332E+19,
ID,4/1/17,12624548,7.3836E+18,1.013674,8,1.89365E+18,GAMES
ID,4/6/17,12624548,1.56529E+19,1.013078,8,1.89365E+18,GAMES
ID,4/1/17,12624548,1.05815E+19,1.013674,8,1.89365E+18,GAMES
,,12624548,,0,7,1.52692E+19,
,,12624548,,0,3,1.6078E+19,
,,12624549,,0,11,1.7801E+19,
,,12624548,,0,20,6.08581E+18,
,,12624549,,0,1,3.34707E+18,
,,12624549,,0,2,1.12491E+19,
,,12624548,,0,5,1.16869E+19,
,,12624548,,0,14,2.55221E+18,
,,12624548,,0,5,1.19101E+19,
,,12624549,,0,7,9.77557E+18,
BR,4/4/17,12624549,8.55238E+18,0.804357,8,1.75707E+19,GAMES
,,12624549,,0,12,3.36049E+18,
,,12624549,,0,20,4.96842E+18,
,,12624549,,0,17,9.58052E+18,
,,12624549,,0,7,4.75332E+18,
,,12624548,,0,13,8.18029E+18,
,,12624548,,0,17,8.99087E+17,
,,12624548,,0,3,7.45224E+18,
,,12624548,,0,5,1.532E+19,
,,12624548,,0,1,8.33222E+18,
US,4/4/17,12624549,1.33539E+19,4.99,5,3.71485E+18,GAMES
,,12624548,,0,6,5.00305E+18,
,,12624549,,0,13,1.82572E+19,
,,12624548,,0,2,1.94674E+18,
JP,4/7/17,12624549,1.13781E+19,14.427879,3,1.10188E+19,GAMES
JP,4/7/17,12624549,6.53272E+18,26.150531,3,1.10188E+19,GAMES
JP,4/1/17,12624549,1.54014E+19,21.518474,3,1.10188E+19,GAMES
,,12624548,,0,19,5.89917E+18,
,,12624549,,0,6,1.08552E+19,
,,12624548,,0,8,1.76968E+19,
,,12624548,,0,17,1.61034E+19,
,,12624548,,0,11,1.60211E+19,
,,12624549,,0,11,1.06885E+19,
,,12624549,,0,12,1.18775E+19,
,,12624548,,0,3,1.71386E+19,
,,12624549,,0,15,7.91706E+18,
,,12624549,,0,17,1.29429E+19,
,,12624549,,0,10,1.3892E+19,
,,12624549,,0,5,1.2399E+19,
,,12624549,,0,5,5.60405E+17,
JP,4/6/17,12624549,1.3696E+19,6.498475,19,4.15467E+18,GAMES
,,12624549,,0,4,1.08548E+18,
JP,4/1/17,12624549,1.21083E+19,48.416566,10,1.78634E+19,GAMES
JP,4/1/17,12624549,1.15707E+18,48.416566,10,1.78634E+19,GAMES
JP,4/1/17,12624549,6.79418E+18,48.416566,10,1.78634E+19,GAMES
JP,4/6/17,12624549,1.61704E+19,88.451472,10,1.78634E+19,GAMES
JP,4/1/17,12624549,1.74623E+19,48.416566,10,1.78634E+19,GAMES
JP,4/1/17,12624549,1.39766E+19,48.416566,10,1.78634E+19,GAMES
JP,4/6/17,12624549,1.11325E+19,48.738566,10,1.78634E+19,GAMES
JP,4/1/17,12624549,1.44365E+19,48.416566,10,1.78634E+19,GAMES
JP,4/6/17,12624549,1.29197E+19,88.451472,10,1.78634E+19,GAMES
JP,4/1/17,12624549,1.64869E+19,48.416566,10,1.78634E+19,GAMES
JP,4/1/17,12624549,5.98353E+18,48.416566,10,1.78634E+19,GAMES
JP,4/5/17,12624549,1.04727E+19,48.717045,10,1.78634E+19,GAMES
JP,4/1/17,12624549,5.87995E+18,26.898092,10,1.78634E+19,GAMES
JP,4/1/17,12624549,1.68219E+18,48.416566,10,1.78634E+19,GAMES
JP,4/1/17,12624549,1.0552E+19,48.416566,10,1.78634E+19,GAMES
,,12624548,,0,10,1.31912E+19,
,,12624549,,0,15,9.48166E+17,
,,12624549,,0,9,6.1358E+18,
,,12624548,,0,13,6.9599E+18,
JP,4/4/17,12624548,1.91778E+18,6.495606,18,1.38516E+19,GAMES
JP,4/7/17,12624548,7.5467E+18,6.492545,18,1.38516E+19,GAMES
JP,4/7/17,12624548,1.73751E+19,2.164181,18,1.38516E+19,GAMES
JP,4/7/17,12624548,9.52369E+18,6.492545,18,1.38516E+19,GAMES
JP,4/1/17,12624548,3.35976E+18,6.455542,18,1.38516E+19,GAMES
JP,4/4/17,12624548,4.81659E+18,6.495606,18,1.38516E+19,GAMES
JP,4/3/17,12624548,2.53991E+17,6.481476,18,1.38516E+19,GAMES
JP,4/3/17,12624548,1.5856E+19,2.160492,18,1.38516E+19,GAMES
JP,4/4/17,12624548,9.03419E+18,6.508501,18,1.38516E+19,GAMES
JP,4/2/17,12624548,6.63944E+18,2.151847,18,1.38516E+19,GAMES
JP,4/2/17,12624548,1.27594E+19,6.455542,18,1.38516E+19,GAMES
,,12624548,,0,6,1.33768E+19,
,,12624548,,0,1,1.66927E+19,
US,4/3/17,12624549,7.53894E+18,1.99,10,7.23259E+18,GAMES
,,12624549,,0,10,2.67651E+18,
AT,4/1/17,12624549,1.3816E+19,10.661877,1,1.07121E+19,GAMES
,,12624548,,0,16,1.51563E+19,
,,12624548,,0,7,1.58121E+19,
,,12624549,,0,3,1.49992E+19,
,,12624548,,0,20,7.84667E+18,
,,12624549,,0,19,1.73499E+19,
,,12624549,,0,13,1.2532E+19,
,,12624548,,0,9,5.34078E+18,
,,12624548,,0,9,1.04198E+19,
,,12624548,,0,7,5.18876E+18,
,,12624548,,0,1,5.36349E+18,
,,12624549,,0,5,5.42044E+18,
,,12624548,,0,10,8.21269E+18,
,,12624549,,0,16,4.60675E+18,
,,12624549,,0,12,2.46388E+17,
,,12624549,,0,3,7.45337E+18,
,,12624549,,0,16,1.01796E+19,
